"","countries","population","latitude","longitude","GDP_per_capita","Daily.mean.temperature..C.","Average.precipitation..mm.","Average.relative.humidity....","Mean.monthly.sunshine.hours"
"88","Grenada","117,303",12.262776,-61.604171,"$12,480",27.6,63,77.35,10.95
"89","Guatemala","18,687,881",15.783471,-90.230759,"$6,484",21.72,143.92,79.03,10.64
"90","Guinea","15,099,727",9.945587,-9.696645,"$1,993",27.06,117.23,64.51,10.49
"91","Guinea-Bissau","2,249,515",11.803749,-15.180413,"$1,011",29.72,67.16,55.33,10.85
"92","Guyana","835,986",4.860416,-58.93018,"$30,888",27.79,109.64,79.39,10.54
"93","Haiti","11,906,095",18.971187,-72.285215,"$2,818",26.48,62.63,75.89,11.02
"94","Honduras","11,005,850",15.199999,-86.241905,"$3,468",24.43,255.3,79.81,10.58
"95","Hong Kong","7,396,076",22.396428,114.109497,"$57,328",24.11,105.52,77.1,9.76
"97","Hungary","9,632,287",47.162494,19.503304,"$24,612",13.04,75.55,71.37,10.3
"99","Iceland","398,266",64.963051,-19.020835,"$88,657",3.17,66.74,82.09,8.33
"101","India","1,463,865,525",20.593684,78.96288,"$2,860",25.97,87.04,59.76,10.79
"103","Indonesia","285,721,236",-0.789275,113.921327,"$5,004",27.11,136.87,79.69,10.56
"105","Iran","92,417,681",32.427908,53.688046,"$3,690",18.43,37.23,41.23,11.18
"106","Iraq","47,020,774",33.223191,43.679291,"$5,487",26.77,27.02,28.98,11.16
"107","Ireland","5,308,039",53.41291,-8.24389,"$112,818",10.1,82.35,87.27,8.95
"109","Israel","9,517,181",31.046051,34.851612,"$61,296",22.69,18.95,58.29,11.13
"111","Italy","59,146,260",41.87194,12.56738,"$40,964",14.47,100.2,73.18,10.63
"113","Jamaica","2,837,077",18.109581,-77.297508,"$7,547",26.83,166.41,79.1,10.79
"115","Japan","123,103,479",36.204824,138.252924,"$34,008",15.19,84.47,76.09,9.92
"117","Jordan","11,520,684",30.585164,36.238414,"$4,870",22.17,10.42,47.11,11.19
"118","Kazakhstan","20,843,754",48.019573,66.923684,"$14,419",9.33,44.82,58.48,10.34
"120","Kenya","57,532,493",-0.023559,37.906193,"$2,289",22.5,167.89,71.06,11.11
"122","Kiribati","136,488",-3.370417,-168.734039,"$2,286",27.6,126.41,77.73,10.56
"123","Kuwait","5,026,078",29.31166,47.481766,"$30,461",28.83,12.8,35.37,11.25
"124","Kyrgyzstan","7,295,034",41.20438,74.766098,"$2,721",9.61,65.59,53.5,10.96
"126","Laos","7,873,046",19.85627,102.495496,"$2,073",25.39,109.16,74.21,10.48
"127","Latvia","1,853,559",56.879635,24.603189,"$24,566",8.07,79.99,82.16,9.43
"129","Lebanon","5,849,421",33.854721,35.862285,"$4,695",19.92,56.7,61.07,11.2
"130","Lesotho","2,363,325",-29.609988,28.233608,"$1,017",16.06,93.23,53.56,10.9
"131","Liberia","5,731,206",6.428055,-9.429499,"$901",26.86,289.74,80.13,9.96
"132","Libya","7,458,555",26.3351,17.228331,"$6,366",23.87,14.17,44.16,11.18
"133","Liechtenstein","40,128",47.166,9.555373,"$198,494",8.62,162.39,80.23,10.46
"134","Lithuania","2,830,144",55.169438,23.881275,"$31,515",8.77,81.89,81.81,9.46
"135","Luxembourg","680,453",49.815273,6.129583,"$141,983",10.06,105.2,84.55,9.31
"136","Madagascar","32,740,678",-18.766947,46.869107,"$571",23.88,150.28,74.81,10.61
"137","Malawi","22,216,120",-13.254308,34.301525,"$628",23.02,128.62,70.14,10.98
"138","Malaysia","35,977,838",4.210484,101.975766,"$12,368",28.28,102.95,77.9,10.57
"140","Maldives","529,676",3.202778,73.22068,"$14,122",28.21,211.49,75.27,11.1
"142","Mali","25,198,821",17.570692,-3.996166,"$921",31.77,45.59,29.19,11.25
"143","Malta","545,405",35.937496,14.375416,"$47,213",19.94,64.33,72.72,10.98
"145","Marshall Islands","36,282",7.131474,171.184478,"$8,186",28.16,281.44,77.31,10.37
"146","Mauritania","5,315,065",21.00789,-10.940835,"$2,158",29.76,16.2,32.13,11.32
"147","Mauritius","1,268,280",-20.348404,57.552152,"$12,217",25.09,105.83,75.93,10.38
"149","Mexico","131,946,900",23.634501,-102.552784,"$12,828",22.03,135.86,61.55,11.05
"151","Moldova","2,996,106",47.411631,28.369885,"$6,496",12.59,56.58,69.31,10.16
"152","Monaco","38,341",43.750298,7.412841,"$260,696",16.04,153.14,71.47,11.01
"153","Mongolia","3,517,100",46.862496,103.846656,"$7,337",1.22,36.76,57.37,11.02
"154","Montenegro","632,729",42.708678,19.37439,"$13,532",12.24,186.13,74.58,10.62
"155","Montserrat","4,359",16.742498,-62.187366,"$18,451",27.26,138.97,76.14,11.04
"156","Morocco","38,430,770",31.791702,-7.09262,"$4,315",21.46,33.41,53.86,10.87
"157","Mozambique","35,631,653",-18.665695,35.529562,"$667",25.62,109.73,71.59,10.59
"158","Namibia","3,092,816",-22.95764,18.49041,"$4,596",24.46,56.54,38.64,11.36
"159","Nauru","12,025",-0.522778,166.931503,"$14,054",28.36,233.85,75.01,10.71
"160","Nepal","29,618,118",28.394857,84.124008,"$1,556",22,215.53,56.77,10.98
"161","Netherlands","18,346,819",52.132633,5.291266,"$69,331",11.59,71.96,80.34,9.63
"163","New Caledonia","295,333",-20.904305,165.618042,"$34,334",23.44,151.74,77.94,9.93
"164","New Zealand","5,251,899",-40.900557,174.885971,"$47,348",13.07,133.55,80.18,10.09
"166","Nicaragua","7,007,502",12.865416,-85.207229,"$3,019",26.48,230.12,77.65,10.53
"167","Niger","27,917,831",17.607789,8.081666,"$784",32.04,27.86,25.48,11.37
"168","Nigeria","237,527,782",9.081999,8.675277,"$793",29.46,141.26,59.41,10.5
"169","North Korea","26,571,036",40.339852,127.510093,"$619",9.25,49.49,70.59,10.4
"170","Norway","5,623,071",60.472024,8.468946,"$89,680",5.03,146.41,81.87,9.24
"172","Oman","5,494,691",21.512583,55.923255,"$18,991",29.2,10.54,43.78,11.27
"173","Pakistan","255,219,554",30.375321,69.345116,"$1,175",20.89,66.24,41.02,11.15
"174","Palau","17,663",7.51498,134.58252,"$18,853",28.53,384.86,76.19,10.92
"175","Panama","4,571,189",8.537981,-80.782127,"$20,055",26.87,263.59,80.33,10.42
"176","Papua New Guinea","10,762,817",-6.314993,143.95555,"$3,051",23.03,507.65,84.54,10.3
"177","Paraguay","7,013,078",-23.442503,-58.443832,"$6,483",25.06,147.08,72.72,10.79
"178","Peru","34,576,665",-9.189967,-75.015152,"$8,772",17.63,121.54,72.55,10.76
"180","Philippines","116,786,962",12.879721,121.774017,"$4,260",27.22,128.05,79.82,10.49
"182","Poland","38,140,910",51.919438,19.145136,"$25,693",10.6,76.59,77.67,9.54
"184","Portugal","10,411,834",39.399872,-8.224454,"$30,873",16.81,78.12,71.93,10.45
"186","Puerto Rico","3,235,289",18.220833,-66.590149,"$37,870",26.96,129.69,77.79,10.93
"188","Qatar","3,115,889",25.354826,51.183884,"$71,497",29.74,8.98,48.74,11.39
"190","Romania","18,908,650",45.943161,24.96676,"$21,334",12.86,80.75,71.08,10.39
"192","Russia","143,997,393",61.52401,105.318756,"$14,420",5.27,72.09,79.16,9.37
"193","Rwanda","14,569,341",-1.940278,29.873888,"$1,014",20.44,304,77.53,11.13
"194","Saint Lucia","180,149",13.909444,-60.978893,"$14,610",27.77,104.21,74.55,11.02
"195","Samoa","219,306",-13.759029,-172.104629,"$5,289",27.65,399.03,78.14,10.55
"196","San Marino","33,572",43.94236,12.457777,"$60,973",16.66,93.25,70.41,10.58
"197","Saudi Arabia","34,566,328",23.885942,45.079162,"$31,353",27.01,12.73,30.72,11.3
"199","Senegal","18,931,966",14.497401,-14.452362,"$1,834",30.32,60.07,44.81,11.17
"200","Serbia","6,689,039",44.016521,21.005859,"$13,836",13.25,84.65,71.86,10.4
"201","Seychelles","132,779",-4.679574,55.491977,"$16,554",27.59,251.29,76.92,10.69
"203","Sierra Leone","8,819,794",8.460555,-11.779889,"$951",27.61,260.41,76.69,10.23
"204","Singapore","5,870,750",1.352083,103.819836,"$96,201",25.1,115.29,77.24,10.24
"206","Slovakia","5,474,881",48.669026,19.699024,"$26,856",10.78,90.2,77.48,10
"208","Slovenia","2,117,072",46.151241,14.995463,"$35,532",11.8,164.23,79.8,10.19
"210","Solomon Islands","838,645",-9.64571,160.156194,"$2,263",27.76,448.73,80.92,10.46
"211","Somalia","19,654,739",5.152149,46.199616,"$661",27.91,60.2,56.92,11.35
"212","South Africa","64,747,319",-30.559482,22.937506,"$6,338",21.22,55.16,54.76,10.67
"214","South Korea","51,667,029",35.907757,127.766922,"$34,651",13.6,121.88,70.98,10.23
"215","Spain","47,889,958",40.463667,-3.74922,"$37,576",16.61,52.18,68.53,10.59
"217","Sri Lanka","23,229,470",7.873054,80.771797,"$3,632",27.46,226.41,78.6,10.78
"218","Sudan","51,662,147",12.862807,30.217636,"$610",30.04,44.95,30.03,11.35
