"","cities","countries","aqi_table.X2024"
"2285","Lutzmannsburg","Austria",11
"2286","Deurne","Belgium",11
"2287","Golden","Canada",11
"2288","Chiguayante","Chile",11
"2289","Aba","China",11
"2290","Kuchařovice","Czech Republic",11
"2291","Kroměříž","Czech Republic",11
"2292","Romans-sur-Isère","France",11
"2293","Roubaix","France",11
"2294","Ingolstadt","Germany",11
"2295","Schifferstadt","Germany",11
"2296","Athens","Greece",11
"2297","Pignataro Maggiore","Italy",11
"2298","Brixen","Italy",11
"2299","Sakamotocho","Japan",11
"2300","Soja","Japan",11
"2301","Gyoda","Japan",11
"2302","Ichiriyamacho","Japan",11
"2303","Kota Samarahan","Malaysia",11
"2304","Biest-Houtakker","Netherlands",11
"2305","Muntinlupa","Philippines",11
"2306","Cartagena","Spain",11
"2307","Chester","USA",11
"2308","Hacienda Heights","USA",11
"2309","Pasadena","USA",11
"2310","Star","USA",11
"2311","Timberwood Park","USA",11
"2312","Sankt Pantaleon","Austria",10.9
"2313","Tulln an der Donau","Austria",10.9
"2314","Manning","Canada",10.9
"2315","Budejovice","Czech Republic",10.9
"2316","Kadaň","Czech Republic",10.9
"2317","Passau","Germany",10.9
"2318","Shimotakatsu","Japan",10.9
"2319","Miyakonojo","Japan",10.9
"2320","Gondomar","Portugal",10.9
"2321","Aroneanu","Romania",10.9
"2322","Sterlitamak","Russia",10.9
"2323","Malacky","Slovakia",10.9
"2324","Yanggu","South Korea",10.9
"2325","Arrecife","Spain",10.9
"2326","Teguise","Spain",10.9
"2327","Alcala de Henares","Spain",10.9
"2328","Murcia","Spain",10.9
"2329","Kirikkale","Turkey",10.9
"2330","La Verne","USA",10.9
"2331","Monterey Park","USA",10.9
"2332","Riverside","USA",10.9
"2333","Corvallis","USA",10.9
"2334","Waco","USA",10.9
"2335","Weslaco","USA",10.9
"2336","Heist-op-den-Berg","Belgium",10.8
"2337","Antofagasta","Chile",10.8
"2338","Xilin Gol","China",10.8
"2339","Liberec","Czech Republic",10.8
"2340","Berlin","Germany",10.8
"2341","Worms","Germany",10.8
"2342","Lutherstadt Wittenberg","Germany",10.8
"2343","Ora","Italy",10.8
"2344","Yatsushiro","Japan",10.8
"2345","Bizen","Japan",10.8
"2346","Kuching","Malaysia",10.8
"2347","Tumbes","Peru",10.8
"2348","Legnica","Poland",10.8
"2349","Lesce","Slovenia",10.8
"2350","Samcheok","South Korea",10.8
"2351","Puertollano","Spain",10.8
"2352","La Aljorra","Spain",10.8
"2353","Penghu","Taiwan",10.8
"2354","Downey","USA",10.8
"2355","Meridian","USA",10.8
"2356","Klosterneuburg","Austria",10.7
"2357","Dornbirn","Austria",10.7
"2358","Berchem-Sainte-Agathe","Belgium",10.7
"2359","Livno","Bosnia Herzegovina",10.7
"2360","Bakar","Croatia",10.7
"2361","Choceň","Czech Republic",10.7
"2362","Pilsen","Czech Republic",10.7
"2363","Carpentras","France",10.7
"2364","Gardanne","France",10.7
"2365","Krefeld","Germany",10.7
"2366","Ano Liosia","Greece",10.7
"2367","Piraeus","Greece",10.7
"2368","Banda Aceh","Indonesia",10.7
"2369","Hasuda","Japan",10.7
"2370","Kawajima","Japan",10.7
"2371","Otsuki","Japan",10.7
"2372","San Rafael del Sur","Nicaragua",10.7
"2373","Algeciras","Spain",10.7
"2374","Prado del Rey","Spain",10.7
"2375","Maspalomas","Spain",10.7
"2376","Ratchaburi","Thailand",10.7
"2377","Ko Kut","Thailand",10.7
"2378","Chornobyl","Ukraine",10.7
"2379","Shevchenkove","Ukraine",10.7
"2380","Arcadia","USA",10.7
"2381","San Pasqual","USA",10.7
"2382","Laredo","USA",10.7
"2383","Mistelbach","Austria",10.6
"2384","Curacavi","Chile",10.6
"2385","Kamenný Újezd","Czech Republic",10.6
"2386","Passy","France",10.6
"2387","Peillon","France",10.6
"2388","Ludwigshafen am Rhein","Germany",10.6
"2389","Psychiko","Greece",10.6
"2390","Charvensod","Italy",10.6
"2391","Florence","Italy",10.6
"2392","Nisshin","Japan",10.6
"2393","Santiago de Queretaro","Mexico",10.6
"2394","The Hague","Netherlands",10.6
"2395","Empangeni","South Africa",10.6
"2396","Donghae","South Korea",10.6
"2397","Lorca","Spain",10.6
"2398","Picanya","Spain",10.6
"2399","Khmelnytskyi","Ukraine",10.6
"2400","Delano","USA",10.6
"2401","Glendale","USA",10.6
"2402","Hughson","USA",10.6
"2403","Signal Hill","USA",10.6
"2404","View Park-Windsor Hills","USA",10.6
"2405","Rossville","USA",10.6
"2406","Garden City","USA",10.6
"2407","Ames","USA",10.6
"2408","Hamilton","USA",10.6
"2409","Prairie City","USA",10.6
"2410","Columbia","USA",10.6
"2411","Port Arthur","USA",10.6
"2412","St. Valentin","Austria",10.5
"2413","Lenzing","Austria",10.5
"2414","Borsbeek","Belgium",10.5
"2415","Menen","Belgium",10.5
"2416","Novo Airão","Brazil",10.5
"2417","Boa Vista","Brazil",10.5
"2418","Conklin","Canada",10.5
"2419","San Gabriel","Chile",10.5
"2420","Kourou","France",10.5
"2421","Patras","Greece",10.5
"2422","Pardes Hanna-Karkur","Israel",10.5
"2423","Ozu","Japan",10.5
"2424","Hagiwara","Japan",10.5
"2425","Takanawa","Japan",10.5
"2426","Glogovac","Kosovo",10.5
"2427","Richmond","New Zealand",10.5
"2428","Ełk","Poland",10.5
"2429","Melilla","Spain",10.5
"2430","Calexico","USA",10.5
"2431","Fort Jones","USA",10.5
"2432","Salmon","USA",10.5
"2433","Adrian","USA",10.5
"2434","Libby","USA",10.5
"2435","Miami","USA",10.5
"2436","Pharr","USA",10.5
"2437","Wiener Neustadt","Austria",10.4
"2438","Gistel","Belgium",10.4
"2439","Roeselare","Belgium",10.4
"2440","Burghausen","Germany",10.4
"2441","Locknitz","Germany",10.4
"2442","Datteln","Germany",10.4
"2443","Recklinghausen","Germany",10.4
"2444","Samarinda","Indonesia",10.4
"2445","Torchiarolo","Italy",10.4
"2446","Laces","Italy",10.4
"2447","Hikimizu","Japan",10.4
"2448","Rezekne","Latvia",10.4
"2449","Tanjung Tokong","Malaysia",10.4
"2450","Porsgrunn","Norway",10.4
"2451","Silang","Philippines",10.4
"2452","Tavira","Portugal",10.4
"2453","Ziar nad Hronom","Slovakia",10.4
"2454","Gqeberha","South Africa",10.4
"2455","Inje","South Korea",10.4
"2456","Natahoyo","Spain",10.4
"2457","Arafo","Spain",10.4
"2458","Pozuelo de Alarcon","Spain",10.4
"2459","Kho Hong","Thailand",10.4
"2460","Nogales","USA",10.4
"2461","Burbank","USA",10.4
"2462","Porterville","USA",10.4
"2463","Farmers Branch","USA",10.4
"2464","Baumgarten","Austria",10.3
"2465","Hainburg an der Donau","Austria",10.3
"2466","Mannswoerth","Austria",10.3
"2467","Deinze","Belgium",10.3
"2468","Gent","Belgium",10.3
"2469","Starosel","Bulgaria",10.3
"2470","Beaverlodge","Canada",10.3
"2471","Rideau Park","Canada",10.3
"2472","Sallanches","France",10.3
"2473","Arles","France",10.3
"2474","Weiden in der Oberpfalz","Germany",10.3
"2475","Bernau bei Berlin","Germany",10.3
"2476","Riesa","Germany",10.3
"2477","Livadi","Greece",10.3
"2478","Merano","Italy",10.3
"2479","Fukuyama","Japan",10.3
"2480","Fukai Higashimachi","Japan",10.3
"2481","Cozumel","Mexico",10.3
"2482","Brumunddal","Norway",10.3
"2483","Kolobrzeg","Poland",10.3
"2484","Granada","Spain",10.3
"2485","San Isidro","Spain",10.3
"2486","Leganes","Spain",10.3
"2487","Torrejon de Ardoz","Spain",10.3
"2488","Villmergen","Switzerland",10.3
"2489","Liverpool","United Kingdom",10.3
"2490","San Fernando","USA",10.3
"2491","Shelton","USA",10.3
"2492","Gainesville","USA",10.3
"2493","Boise","USA",10.3
"2494","Clarkston","USA",10.3
"2495","Bad Pirawarth","Austria",10.2
"2496","Voitsberg","Austria",10.2
"2497","Hall Lake","Canada",10.2
"2498","Shigatse","China",10.2
"2499","Eisenhuttenstadt","Germany",10.2
"2500","Gelsenkirchen","Germany",10.2
"2501","Rosslau","Germany",10.2
"2502","Palaio Faliro","Greece",10.2
"2503","Palangkaraya","Indonesia",10.2
"2504","Avio","Italy",10.2
"2505","Hatachonaka","Japan",10.2
"2506","Kumamoto","Japan",10.2
"2507","Sanbocho","Japan",10.2
"2508","Shiroishi","Japan",10.2
"2509","Kazo","Japan",10.2
"2510","Yakyūcho","Japan",10.2
"2511","Rudnyy","Kazakhstan",10.2
"2512","Sibu","Malaysia",10.2
"2513","Gharb","Malta",10.2
"2514","Ensenada","Mexico",10.2
"2515","Oss","Netherlands",10.2
"2516","Lopik","Netherlands",10.2
"2517","Sieniawa Zarska","Poland",10.2
"2518","Jaslo","Poland",10.2
"2519","Krosno","Poland",10.2
"2520","Campillos","Spain",10.2
"2521","Consuegra","Spain",10.2
"2522","Bioggio","Switzerland",10.2
"2523","Corcoran","USA",10.2
"2524","Diamond Bar","USA",10.2
"2525","Fresno","USA",10.2
"2526","Rosemead","USA",10.2
"2527","Sierra Madre","USA",10.2
"2528","Terra Bella","USA",10.2
"2529","Claymont","USA",10.2
"2530","Orofino","USA",10.2
"2531","Englewood","USA",10.2
"2532","The Woodlands","USA",10.2
"2533","Langenrohr","Austria",10.1
"2534","Mödling","Austria",10.1
"2535","St Pölten","Austria",10.1
"2536","Viehofen","Austria",10.1
"2537","Antwerp","Belgium",10.1
"2538","Schoten","Belgium",10.1
"2539","Vilvoorde","Belgium",10.1
"2540","Gibbons","Canada",10.1
"2541","Grimshaw","Canada",10.1
"2542","Janvier","Canada",10.1
"2543","Coquimbo","Chile",10.1
"2544","Nemcicky","Czech Republic",10.1
"2545","Dunkirk","France",10.1
"2546","Bottrop","Germany",10.1
"2547","Unna","Germany",10.1
"2548","Jimbaran","Indonesia",10.1
"2549","Edenderry","Ireland",10.1
"2550","Rome","Italy",10.1
"2551","Bolzano","Italy",10.1
"2552","Aomori","Japan",10.1
"2553","Toki","Japan",10.1
"2554","Tamano","Japan",10.1
"2555","Imari","Japan",10.1
"2556","Tsurugashima","Japan",10.1
"2557","Prizren","Kosovo",10.1
"2558","Grigiškės","Lithuania",10.1
"2559","Apeldoorn","Netherlands",10.1
"2560","Veldhoven","Netherlands",10.1
"2561","San Miguelito","Panama",10.1
"2562","Murowana Goslina","Poland",10.1
"2563","Odunpazari","Turkey",10.1
"2564","Chino Hills","USA",10.1
"2565","Los Angeles","USA",10.1
"2566","Augusta","USA",10.1
"2567","Forest Park","USA",10.1
"2568","Lawrenceville","USA",10.1
"2569","Sunriver","USA",10.1
"2570","Lancaster","USA",10.1
"2571","Enzersdorf an der Fischa","Austria",10
"2572","Berndorf","Austria",10
"2573","Steyregg","Austria",10
"2574","Zelzate","Belgium",10
"2575","Foz do Iguacu","Brazil",10
"2576","Burgas","Bulgaria",10
"2577","Mont-Royal","Canada",10
"2578","Arica","Chile",10
"2579","Limassol","Cyprus",10
"2580","Agia Marina","Cyprus",10
"2581","Hradek nad Nisou","Czech Republic",10
"2582","Valenciennes","France",10
"2583","Frankfurt/Oder","Germany",10
"2584","Goldberg","Germany",10
"2585","Kaarst","Germany",10
"2586","Oberhausen","Germany",10
"2587","Dresden","Germany",10
"2588","Higashidaidocho Harata","Japan",10
"2589","Imabari","Japan",10
"2590","Tenjin","Japan",10
"2591","Tatebayashi","Japan",10
"2592","Higashikankicho Kanki","Japan",10
"2593","Kamiamakusa","Japan",10
"2594","Takaida Motomachi","Japan",10
"2595","Hanno","Japan",10
"2596","Niiza","Japan",10
"2597","Satte","Japan",10
"2598","Miyoshi","Japan",10
"2599","Ajijic","Mexico",10
"2600","Muiden","Netherlands",10
"2601","Wijk aan Zee","Netherlands",10
"2602","Berkel en Rodenrijs","Netherlands",10
"2603","Moscow","Russia",10
"2604","Vrhnika","Slovenia",10
"2605","Coslada","Spain",10
"2606","Greetham","United Kingdom",10
"2607","Worthing","United Kingdom",10
"2608","Beverly Hills","USA",10
"2609","Rancho Cucamonga","USA",10
"2610","Whittier","USA",10
"2611","Berthoud","USA",10
"2612","Kamiah","USA",10
"2613","French Settlement","USA",10
"2614","East Helena","USA",10
"2615","Maple Falls","USA",10
"2616","Wapato","USA",10
"2617","Dürnrohr","Austria",9.9
"2618","Glinzendorf","Austria",9.9
"2619","Weiz","Austria",9.9
"2620","Ixelles","Belgium",9.9
"2621","Zwevegem","Belgium",9.9
"2622","La Paz","Bolivia",9.9
"2623","Hinton","Canada",9.9
"2624","Tocopilla","Chile",9.9
"2625","Saint-Martin-d'Hères","France",9.9
"2626","Tourcoing","France",9.9
"2627","La Joliette","France",9.9
"2628","Buckow","Germany",9.9
"2629","Hagen","Germany",9.9
"2630","Magdeburg","Germany",9.9
"2631","Keratsini","Greece",9.9
"2632","Hama","Japan",9.9
"2633","Asakura","Japan",9.9
"2634","Kurume","Japan",9.9
"2635","Kure","Japan",9.9
"2636","Shimotsumaotsu","Japan",9.9
"2637","Shimizucho","Japan",9.9
"2638","Sayama","Japan",9.9
"2639","Blenheim","New Zealand",9.9
"2640","Chorvatsky Grob","Slovakia",9.9
"2641","Uljin","South Korea",9.9
"2642","Toledo","Spain",9.9
"2643","Cee","Spain",9.9
"2644","Buena Park","USA",9.9
"2645","South Gate","USA",9.9
"2646","West Hollywood","USA",9.9
"2647","Covington","USA",9.9
"2648","McAllen","USA",9.9
"2649","Syracuse","USA",9.9
"2650","South Charleston","USA",9.9
"2651","Gänserndorf","Austria",9.8
"2652","Köflach","Austria",9.8
"2653","Damme","Belgium",9.8
"2654","Dessel","Belgium",9.8
"2655","Zulte","Belgium",9.8
"2656","Bruderheim","Canada",9.8
"2657","Fort St John","Canada",9.8
"2658","Paphos","Cyprus",9.8
"2659","Lyon","France",9.8
"2660","Salaise-sur-Sanne","France",9.8
"2661","Valence","France",9.8
"2662","Gap","France",9.8
"2663","Marignane","France",9.8
"2664","Mannheim","Germany",9.8
"2665","Schwedt/Oder","Germany",9.8
"2666","Dierkow-West","Germany",9.8
"2667","Cholargos","Greece",9.8
"2668","Buleleng","Indonesia",9.8
"2669","City of Balikpapan","Indonesia",9.8
"2670","Batulicin","Indonesia",9.8
"2671","Bormio","Italy",9.8
"2672","Matsuyama","Japan",9.8
"2673","Tagawa","Japan",9.8
"2674","Marugame","Japan",9.8
"2675","Kikuchi","Japan",9.8
"2676","Ishinomaki","Japan",9.8
"2677","Sasagajin","Japan",9.8
"2678","Hyuga","Japan",9.8
"2679","Matsuura","Japan",9.8
"2680","Saiki","Japan",9.8
"2681","Kurashiki","Japan",9.8
"2682","Kanzaki","Japan",9.8
"2683","Mima","Japan",9.8
"2684","Sandakan","Malaysia",9.8
"2685","Ta' Xbiex","Malta",9.8
"2686","Beverwijk","Netherlands",9.8
"2687","Kaiapoi","New Zealand",9.8
"2688","Beasain","Spain",9.8
"2689","A Coruna","Spain",9.8
"2690","Ban Ko Kaeo","Thailand",9.8
"2691","Long Beach","USA",9.8
"2692","Sunnyside","USA",9.8
"2693","West Carson","USA",9.8
"2694","Panama City","USA",9.8
"2695","Baton Rouge","USA",9.8
"2696","Lafayette","USA",9.8
"2697","Great Falls","USA",9.8
"2698","Hot Springs","USA",9.8
"2699","Pablo","USA",9.8
"2700","Egg Harbor City","USA",9.8
"2701","Oakridge","USA",9.8
"2702","Spartanburg","USA",9.8
"2703","Marble Falls","USA",9.8
"2704","An Thoi","Vietnam",9.8
"2705","Darwin","Australia",9.7
"2706","Kematen an der Ybbs","Austria",9.7
"2707","Linz","Austria",9.7
"2708","Vienna","Austria",9.7
"2709","Lustenau","Austria",9.7
"2710","Beveren","Belgium",9.7
"2711","Destelbergen","Belgium",9.7
"2712","Zwijndrecht","Belgium",9.7
"2713","Devon","Canada",9.7
"2714","St. Albert","Canada",9.7
"2715","Nizbor","Czech Republic",9.7
"2716","Quito","Ecuador",9.7
"2717","Oberaudorf","Germany",9.7
"2718","Brandenburg City","Germany",9.7
"2719","Spremberg","Germany",9.7
"2720","Neubrandenburg","Germany",9.7
"2721","Oberhausen","Germany",9.7
"2722","Halle (Saale)","Germany",9.7
"2723","Glyfada","Greece",9.7
"2724","Nikaia","Greece",9.7
"2725","Inazawa","Japan",9.7
"2726","Tsuchiura","Japan",9.7
"2727","Miyazono","Japan",9.7
"2728","Yokkaichi","Japan",9.7
"2729","Izumiotsu","Japan",9.7
"2730","Kashiwaza","Japan",9.7
"2731","Scherpenzeel","Netherlands",9.7
"2732","Geleen","Netherlands",9.7
"2733","Lubsko","Poland",9.7
"2734","Taebaek","South Korea",9.7
"2735","Candelaria","Spain",9.7
"2736","Mueang","Thailand",9.7
"2737","Vinnytsia","Ukraine",9.7
"2738","Hot Springs","USA",9.7
"2739","Chula Vista","USA",9.7
"2740","Moreno Valley","USA",9.7
"2741","Norwalk","USA",9.7
"2742","South Pasadena","USA",9.7
"2743","Pinehurst","USA",9.7
"2744","Cherryville","USA",9.7
"2745","Delphos","USA",9.7
"2746","Westfir","USA",9.7
"2747","Manheim","USA",9.7
"2748","Fountain Inn","USA",9.7
"2749","Brownsville","USA",9.7
"2750","Karnack","USA",9.7
"2751","Schwechat","Austria",9.6
"2752","Wels","Austria",9.6
"2753","Grande Prairie","Canada",9.6
"2754","Lamont","Canada",9.6
"2755","Redwater","Canada",9.6
"2756","Swan Hills","Canada",9.6
"2757","Lhasa","China",9.6
"2758","Soyapango","El Salvador",9.6
"2759","Pointe-a-Pitre","France",9.6
"2760","Douai","France",9.6
"2761","Melun","France",9.6
"2762","Fort-de-France","France",9.6
"2763","Avignon","France",9.6
"2764","Dortmund","Germany",9.6
"2765","Dusseldorf","Germany",9.6
"2766","Meerbusch","Germany",9.6
"2767","Mettingen","Germany",9.6
"2768","Speyer","Germany",9.6
"2769","Goerlitz","Germany",9.6
"2770","Solaki","Greece",9.6
"2771","Fukuoka","Japan",9.6
"2772","Kani","Japan",9.6
"2773","Koshienurakazecho","Japan",9.6
"2774","Naruocho","Japan",9.6
"2775","Yamaga","Japan",9.6
"2776","Takanabe","Japan",9.6
"2777","Tenjin","Japan",9.6
"2778","Wako","Japan",9.6
"2779","Oyama","Japan",9.6
"2780","Kitamachi","Japan",9.6
"2781","Koganei","Japan",9.6
"2782","Wakayama","Japan",9.6
"2783","Mukah","Malaysia",9.6
"2784","Nistelrode","Netherlands",9.6
"2785","Spoorwijk","Netherlands",9.6
"2786","Sluiskil","Netherlands",9.6
"2787","Stupava","Slovakia",9.6
"2788","Ciutadella de Menorca","Spain",9.6
"2789","Amorebieta","Spain",9.6
"2790","San Nicolas","Spain",9.6
"2791","Girona","Spain",9.6
"2792","Vyshhorod","Ukraine",9.6
"2793","Barnsbury","United Kingdom",9.6
"2794","Anaheim","USA",9.6
"2795","Oceano","USA",9.6
"2796","Redlands","USA",9.6
"2797","South Whittier","USA",9.6
"2798","Albany","USA",9.6
"2799","Columbus","USA",9.6
"2800","Saint Maries","USA",9.6
"2801","Black Butte Ranch","USA",9.6
"2802","Mechelen","Belgium",9.5
"2803","Stabroek","Belgium",9.5
"2804","Beaumont","Canada",9.5
"2805","Cold Lake","Canada",9.5
"2806","Red Deer","Canada",9.5
"2807","Estevan","Canada",9.5
"2808","Crolles","France",9.5
"2809","Eybens","France",9.5
"2810","Schœlcher","France",9.5
"2811","Dieppe","France",9.5
"2812","Oettingen in Bayern","Germany",9.5
"2813","Elsterwerda","Germany",9.5
"2814","Borken","Germany",9.5
"2815","Münster","Germany",9.5
"2816","Balassagyarmat","Hungary",9.5
"2817","Higashihonjo","Japan",9.5
"2818","Bunkyocho","Japan",9.5
"2819","Joyo","Japan",9.5
"2820","Terada","Japan",9.5
"2821","Kasugadekita","Japan",9.5
"2822","Kashima","Japan",9.5
"2823","Tosu","Japan",9.5
"2824","Fujimi","Japan",9.5
"2825","Oze","Japan",9.5
"2826","Klaipėda","Lithuania",9.5
"2827","Sarikei","Malaysia",9.5
"2828","Chupaca","Peru",9.5
"2829","Howick","South Africa",9.5
"2830","Zumarraga","Spain",9.5
"2831","Villarejo de Salvanes","Spain",9.5
"2832","Xinying","Taiwan",9.5
"2833","Ko Lanta Yai","Thailand",9.5
"2834","Northampton","United Kingdom",9.5
"2835","Springdale","USA",9.5
"2836","Beaumont","USA",9.5
"2837","Lemon Cove","USA",9.5
"2838","Oak Park","USA",9.5
"2839","River Forest","USA",9.5
"2840","Clinton","USA",9.5
"2841","New Town","USA",9.5
"2842","Obetz","USA",9.5
"2843","Oregon","USA",9.5
"2844","Piney Flats","USA",9.5
"2845","Texarkana","USA",9.5
"2846","Wiener Neudorf","Austria",9.4
"2847","Hasselt","Belgium",9.4
"2848","Drayton Valley","Canada",9.4
"2849","Peace River","Canada",9.4
"2850","Le Lamentin","France",9.4
"2851","Bad Aibling","Germany",9.4
"2852","Kleinwallstadt","Germany",9.4
"2853","Mehring","Germany",9.4
"2854","Neu-Ulm","Germany",9.4
"2855","Buchholz in der Nordheide","Germany",9.4
"2856","Bautzen","Germany",9.4
"2857","Gyongyossolymos","Hungary",9.4
"2858","Masago","Japan",9.4
"2859","Kitakyushu","Japan",9.4
"2860","Mizuho","Japan",9.4
"2861","Higashihiroshima","Japan",9.4
"2862","Aioi","Japan",9.4
"2863","Kandacho","Japan",9.4
"2864","Kanoya","Japan",9.4
"2865","Nobeoka","Japan",9.4
"2866","Takasagocho","Japan",9.4
"2867","Joetsu","Japan",9.4
"2868","Okayama","Japan",9.4
"2869","Osaka","Japan",9.4
"2870","Yashio","Japan",9.4
"2871","Fujimi","Japan",9.4
"2872","Nijmegen","Netherlands",9.4
"2873","Kerkrade","Netherlands",9.4
"2874","Breda","Netherlands",9.4
"2875","Lørenskog","Norway",9.4
"2876","Moquegua","Peru",9.4
"2877","Stellenbosch","South Africa",9.4
"2878","Sunset Beach","South Africa",9.4
"2879","Goseong","South Korea",9.4
"2880","Castillo del Romeral","Spain",9.4
"2881","Valencia","Spain",9.4
"2882","Cankiri","Turkey",9.4
"2883","Kyiv","Ukraine",9.4
"2884","Lutsk","Ukraine",9.4
"2885","Croydon","United Kingdom",9.4
"2886","Altadena","USA",9.4
"2887","Bakersfield","USA",9.4
"2888","Loma Linda","USA",9.4
"2889","Miramonte","USA",9.4
"2890","Roswell","USA",9.4
"2891","Sawtooth City","USA",9.4
"2892","Jean Lafitte","USA",9.4
"2893","Saint Clair Shores","USA",9.4
"2894","Urbancrest","USA",9.4
"2895","West Milton","USA",9.4
"2896","Hugo","USA",9.4
"2897","Gordonville","USA",9.4
"2898","Schlusser","USA",9.4
"2899","Corpus Christi","USA",9.4
"2900","Eagle Pass","USA",9.4
"2901","Katy","USA",9.4
"2902","Socorro","USA",9.4
"2903","The Hills","USA",9.4
"2904","Sint-Jans-Molenbeek","Belgium",9.3
"2905","Houthalen","Belgium",9.3
"2906","Medianeira","Brazil",9.3
"2907","Blackfalds","Canada",9.3
"2908","Sangudo","Canada",9.3
"2909","Fort Smith","Canada",9.3
"2910","Žďár nad Sázavou","Czech Republic",9.3
"2911","Calais","France",9.3
"2912","Denain","France",9.3
"2913","Gennevilliers","France",9.3
"2914","Bouc-Bel-Air","France",9.3
"2915","Arzberg","Germany",9.3
"2916","Nuremberg","Germany",9.3
"2917","Schwandorf","Germany",9.3
"2918","Potsdam","Germany",9.3
"2919","Wildau","Germany",9.3
"2920","Kassel","Germany",9.3
"2921","Oldenburg","Germany",9.3
"2922","Dillingen","Germany",9.3
"2923","Vrilissia","Greece",9.3
"2924","Kunioka","Japan",9.3
"2925","Shitte","Japan",9.3
"2926","Muromachi","Japan",9.3
"2927","Satsumasendai","Japan",9.3
"2928","Kochi","Japan",9.3
"2929","Yawata","Japan",9.3
"2930","Nagasaki","Japan",9.3
"2931","Gose","Japan",9.3
"2932","Oita","Japan",9.3
"2933","Kumagaya","Japan",9.3
"2934","Sano","Japan",9.3
"2935","Sanyoonoda","Japan",9.3
"2936","Arnhem","Netherlands",9.3
"2937","Amsterdam","Netherlands",9.3
"2938","Tokoroa","New Zealand",9.3
"2939","Las Palmas de Gran Canaria","Spain",9.3
"2940","Santa Cruz de Tenerife","Spain",9.3
"2941","Härkingen","Switzerland",9.3
"2942","La Sarraz","Switzerland",9.3
"2943","Zhytomyr","Ukraine",9.3
"2944","Bromley","United Kingdom",9.3
"2945","Marion","USA",9.3
"2946","Kennesaw","USA",9.3
"2947","Valdosta","USA",9.3
"2948","Thibodaux","USA",9.3
"2949","Kentwood","USA",9.3
"2950","Wisner","USA",9.3
"2951","Parshall","USA",9.3
"2952","Bend","USA",9.3
"2953","Edgecliff Village","USA",9.3
"2954","Spring","USA",9.3
"2955","Temple","USA",9.3
"2956","Sidzhak","Uzbekistan",9.3
"2957","Lienz","Austria",9.2
"2958","Vöcklabruck","Austria",9.2
"2959","Aarschot","Belgium",9.2
"2960","Balen","Belgium",9.2
"2961","Copiapo","Chile",9.2
"2962","Shannan","China",9.2
"2963","Vranjic","Croatia",9.2
"2964","Chrastava","Czech Republic",9.2
"2965","Pelhřimov","Czech Republic",9.2
"2966","Saint-Quentin","France",9.2
"2967","Ansbach","Germany",9.2
"2968","Giessen","Germany",9.2
"2969","Offenbach am Main","Germany",9.2
"2970","Rostock","Germany",9.2
"2971","Wuppertal","Germany",9.2
"2972","Caserta","Italy",9.2
"2973","La Spezia","Italy",9.2
"2974","Nogata","Japan",9.2
"2975","Yamabe","Japan",9.2
"2976","Chitose","Japan",9.2
"2977","Takasago","Japan",9.2
"2978","Kamisu","Japan",9.2
"2979","Sasebo","Japan",9.2
"2980","Shimabara","Japan",9.2
"2981","Kudo","Japan",9.2
"2982","Sakai","Japan",9.2
"2983","Saga","Japan",9.2
"2984","Kawaguchi","Japan",9.2
"2985","Konosu","Japan",9.2
"2986","Riga","Latvia",9.2
"2987","Eersel","Netherlands",9.2
"2988","Lievendaal","Netherlands",9.2
"2989","Vught","Netherlands",9.2
"2990","Vlaardingen","Netherlands",9.2
"2991","Fredrikstad","Norway",9.2
"2992","Calamba","Philippines",9.2
"2993","Zyryanka","Russia",9.2
"2994","Yangyang","South Korea",9.2
"2995","La Linea de la Concepcion","Spain",9.2
"2996","Granadilla de Abona","Spain",9.2
"2997","Muttenz","Switzerland",9.2
"2998","Khotiv","Ukraine",9.2
"2999","Duarte","USA",9.2
"3000","El Cajon","USA",9.2
"3001","Inglewood","USA",9.2
"3002","Rio Vista","USA",9.2
"3003","Macon","USA",9.2
"3004","Shawnee","USA",9.2
"3005","Victor","USA",9.2
"3006","Gretna","USA",9.2
"3007","Millersburg","USA",9.2
"3008","Pemberville","USA",9.2
"3009","Steelton","USA",9.2
"3010","Highlands","USA",9.2
"3011","Gillette","USA",9.2
"3012","La Hulpe","Belgium",9.1
"3013","Marechal Candido Rondon","Brazil",9.1
"3014","Timbo","Brazil",9.1
"3015","Fort Chipewyan","Canada",9.1
"3016","Leduc","Canada",9.1
"3017","Sainte-Anne-de-Bellevue","Canada",9.1
"3018","Saskatoon","Canada",9.1
"3019","La Serena","Chile",9.1
"3020","Marčelji","Croatia",9.1
"3021","Tala","Cyprus",9.1
"3022","Křešín","Czech Republic",9.1
"3023","Ajaccio","France",9.1
"3024","Notre-Dame-de-Bliquetuit","France",9.1
"3025","Stuttgart","Germany",9.1
"3026","Bamberg","Germany",9.1
"3027","Coburg","Germany",9.1
"3028","Rudersdorf bei Berlin","Germany",9.1
"3029","Bremerhaven","Germany",9.1
"3030","Frankfurt am Main","Germany",9.1
"3031","Burg Stargard","Germany",9.1
"3032","Schwerin","Germany",9.1
"3033","Duisburg","Germany",9.1
"3034","Greiz","Germany",9.1
"3035","Muhlhausen/Thuringen","Germany",9.1
"3036","Panorama","Greece",9.1
"3037","Sarroch","Italy",9.1
"3038","Mihara","Japan",9.1
"3039","Kaibaracho Kaibara","Japan",9.1
"3040","Kakogawa","Japan",9.1
"3041","Joso","Japan",9.1
