"","cities","countries","aqi_table.X2024"
"201","Kirtipur","Nepal",44.6
"202","Pingdingshan","China",44.3
"203","Bhopal","India",44.3
"204","Shijiazhuang","China",44.1
"205","Suihua","China",44.1
"206","Dewas","India",44.1
"207","Jingmen","China",44
"208","Shashi","China",44
"209","Bihar Sharif","India",43.8
"210","Dingtao","China",43.7
"211","Nanyang","China",43.6
"212","Shihezi","China",43.6
"213","Ambala","India",43.6
"214","Jingzhou","China",43.5
"215","Virar","India",43.5
"216","Temirtau","Kazakhstan",43.5
"217","Xuzhou","China",43.4
"218","Kolhapur","India",43.4
"219","Abbottabad","Pakistan",43.4
"220","Dingzhou","China",43.3
"221","Ankleshwar","India",43.3
"222","Dungarpur","India",43.3
"223","Ras Al-Khaimah","United Arab Emirates",43.3
"224","Banting","Malaysia",43.2
"225","Xian","China",43.1
"226","Yuci","China",43.1
"227","Kollam","India",43.1
"228","Keonjhar","India",43.1
"229","Luong Son","Vietnam",43.1
"230","Jhalawar","India",43
"231","Xinji","China",42.8
"232","Jinchang","China",42.8
"233","Chandrapur","India",42.7
"234","Bhaktapur","Nepal",42.7
"235","Fuyang","China",42.6
"236","Weinan","China",42.5
"237","Bekasi","Indonesia",42.5
"238","Linxi","China",42.4
"239","Serpong","Indonesia",42.4
"240","Liaocheng","China",42.3
"241","Yanggu","China",42.2
"242","Abuja","Nigeria",42.2
"243","Huaibei","China",42.1
"244","Zaozhuang","China",42.1
"245","Yuncheng","China",42
"246","Bhayandar","India",42
"247","Baoding Shi","China",41.9
"248","Linfen","China",41.9
"249","Baran","India",41.8
"250","Sawai Madhopur","India",41.8
"251","Jakarta","Indonesia",41.7
"252","Xixiang","China",41.6
"253","Zhumadian","China",41.6
"254","Xiangtan","China",41.6
"255","Bac Ninh","Vietnam",41.6
"256","Xinzhou","China",41.4
"257","Wujiaqu","China",41.4
"258","Tianchang","China",41.3
"259","Xiangcheng Chengguanzhen","China",41.3
"260","Dezhou","China",41.3
"261","Jabalpur","India",41.3
"262","Phường Phú Thượng","Vietnam",41.3
"263","Wuhan","China",41.2
"264","Ajmer","India",41.2
"265","Alwar","India",41.1
"266","Nanded","India",41
"267","Kampala","Uganda",41
"268","Renqiu","China",40.9
"269","Jalore","India",40.9
"270","Moradabad","India",40.9
"271","Kigali","Rwanda",40.8
"272","Puyang Chengguanzhen","China",40.7
"273","Yiyang","China",40.7
"274","Jining","China",40.6
"275","Kohima","India",40.6
"276","Coyhaique","Chile",40.5
"277","Botou","China",40.5
"278","Daokou","China",40.5
"279","Changji","China",40.5
"280","Basse Santa Su","Gambia",40.5
"281","Baghdad","Iraq",40.5
"282","Zibo","China",40.4
"283","Nagaur","India",40.4
"284","Bujumbura","Burundi",40.3
"285","Xiaogan","China",40.3
"286","Yangquan","China",40.2
"287","Sasaram","India",40.2
"288","Suzhou","China",40.1
"289","Belapur","India",40.1
"290","Yanzhou","China",40
"291","Zhoucun","China",40
"292","Jaisalmer","India",40
"293","Bandung","Indonesia",40
"294","Zigong","China",39.9
"295","Cairo","Egypt",39.9
"296","Hecun","China",39.8
"297","Hengshui Shi","China",39.7
"298","Luzhou","China",39.7
"299","Wacheng","China",39.6
"300","Zijinglu","China",39.6
"301","Changde","China",39.6
"302","Yutan","China",39.6
"303","Baoji","China",39.6
"304","Kumasi","Ghana",39.6
"305","Lonavla","India",39.5
"306","Suizhou","China",39.4
"307","Latur","India",39.4
"308","Thane","India",39.4
"309","Siliguri","India",39.4
"310","Harbin","China",39.3
"311","Gandhinagar","India",39.3
"312","Tensa","India",39.3
"313","Bozhou","China",39.2
"314","Lanzhou","China",39.2
"315","Xincheng","China",39.2
"316","Changsha","China",39.2
"317","Phaya Kaeo","Thailand",39.2
"318","Suqian","China",39.1
"319","Laiwu","China",39.1
"320","Katni","India",39
"321","Zhongwei","China",38.9
